,borough,ethnic_group,2011,2050
183,City of London,White British,4265,2564
275,City of London,White Irish,181,124
367,City of London,Other White,1386,2634
459,City of London,White & Black Caribbean,38,34
551,City of London,White & Black African,37,51
643,City of London,White & Asian,110,123
735,City of London,Other Mixed,102,147
827,City of London,Indian,218,308
919,City of London,Pakistani,16,73
1011,City of London,Bangladeshi,232,85
1103,City of London,Chinese,263,177
1195,City of London,Other Asian,214,462
1287,City of London,Black African,99,295
1379,City of London,Black Caribbean,46,70
1471,City of London,Other Black,52,68
1563,City of London,Arab,69,763
1655,City of London,Other Ethnic Group,85,375
1747,City of London,BAME,1580,3032
1931,Barking and Dagenham,White British,92594,63083
2023,Barking and Dagenham,White Irish,1738,1106
2115,Barking and Dagenham,Other White,14833,40053
2207,Barking and Dagenham,White & Black Caribbean,2695,5590
2299,Barking and Dagenham,White & Black African,2151,3861
2391,Barking and Dagenham,White & Asian,1262,2638
2483,Barking and Dagenham,Other Mixed,1854,4534
2575,Barking and Dagenham,Indian,7503,21796
2667,Barking and Dagenham,Pakistani,8087,20457
2759,Barking and Dagenham,Bangladeshi,7769,27232
2851,Barking and Dagenham,Chinese,1325,2374
2943,Barking and Dagenham,Other Asian,5183,14540
3035,Barking and Dagenham,Black African,28955,56317
3127,Barking and Dagenham,Black Caribbean,5266,9821
3219,Barking and Dagenham,Other Black,3260,9675
3311,Barking and Dagenham,Arab,983,1326
3403,Barking and Dagenham,Other Ethnic Group,1959,6015
3495,Barking and Dagenham,BAME,78252,186176
3679,Barnet,White British,162749,166584
3771,Barnet,White Irish,8720,9356
3863,Barnet,Other White,57939,103745
3955,Barnet,White & Black Caribbean,3106,4441
4047,Barnet,White & Black African,3121,5323
4139,Barnet,White & Asian,5903,9293
4231,Barnet,Other Mixed,5094,9615
4323,Barnet,Indian,28020,40021
4415,Barnet,Pakistani,5362,8781
4507,Barnet,Bangladeshi,2221,3241
4599,Barnet,Chinese,8276,16323
4691,Barnet,Other Asian,22260,49736
4783,Barnet,Black African,19444,32153
4875,Barnet,Black Caribbean,4483,6387
4967,Barnet,Other Black,3581,6123
5059,Barnet,Arab,5225,10139
5151,Barnet,Other Ethnic Group,12147,26927
5243,Barnet,BAME,128244,228502
5427,Bexley,White British,180025,191043
5519,Bexley,White Irish,2608,2770
5611,Bexley,Other White,8149,22800
5703,Bexley,White & Black Caribbean,1684,3596
5795,Bexley,White & Black African,992,2733
5887,Bexley,White & Asian,1377,2719
5979,Bexley,Other Mixed,1372,3941
6071,Bexley,Indian,7083,13429
6163,Bexley,Pakistani,733,1856
6255,Bexley,Bangladeshi,781,1710
6347,Bexley,Chinese,2523,5641
6439,Bexley,Other Asian,4194,12491
6531,Bexley,Black African,16015,35854
6623,Bexley,Black Caribbean,2389,5219
6715,Bexley,Other Black,1298,4208
6807,Bexley,Arab,304,353
6899,Bexley,Other Ethnic Group,1476,2685
6991,Bexley,BAME,42221,96435
7175,Brent,White British,56228,51113
7267,Brent,White Irish,12384,10628
7359,Brent,Other White,44970,66916
7451,Brent,White & Black Caribbean,4315,4517
7543,Brent,White & Black African,2839,4319
7635,Brent,White & Asian,3674,6481
7727,Brent,Other Mixed,5069,9078
7819,Brent,Indian,58348,73905
7911,Brent,Pakistani,14465,23527
8003,Brent,Bangladeshi,1761,1939
8095,Brent,Chinese,3261,4403
8187,Brent,Other Asian,28755,47482
8279,Brent,Black African,24533,34887
8371,Brent,Black Caribbean,23834,18572
8463,Brent,Other Black,10584,13431
8555,Brent,Arab,11513,23861
8647,Brent,Other Ethnic Group,6551,12378
8739,Brent,BAME,199502,278780
8923,Bromley,White British,240791,263021
9015,Bromley,White Irish,4481,5183
9107,Bromley,Other White,17007,41150
9199,Bromley,White & Black Caribbean,3933,9308
9291,Bromley,White & Black African,1347,3231
9383,Bromley,White & Asian,3044,5859
9475,Bromley,Other Mixed,2674,6309
9567,Bromley,Indian,6244,12935
9659,Bromley,Pakistani,1018,1477
9751,Bromley,Bangladeshi,1271,3539
9843,Bromley,Chinese,2782,4308
9935,Bromley,Other Asian,4826,7187
10027,Bromley,Black African,9885,33184
10119,Bromley,Black Caribbean,6646,14436
10211,Bromley,Other Black,2272,5685
10303,Bromley,Arab,876,2016
10395,Bromley,Other Ethnic Group,2012,3589
10487,Bromley,BAME,48831,113063
10671,Camden,White British,96896,108123
10763,Camden,White Irish,7067,7623
10855,Camden,Other White,42060,80680
10947,Camden,White & Black Caribbean,2484,2691
11039,Camden,White & Black African,1793,2534
11131,Camden,White & Asian,3864,4773
11223,Camden,Other Mixed,4140,7260
11315,Camden,Indian,6062,10420
11407,Camden,Pakistani,1484,2686
11499,Camden,Bangladeshi,12478,13674
11591,Camden,Chinese,6453,10495
11683,Camden,Other Asian,8861,16059
11775,Camden,Black African,10766,12294
11867,Camden,Black Caribbean,3492,4588
