region,employees,selfemployed,familyworkers
Hokkaido,2031673.00,196173.00,97755.00
Aomori-ken,495786.00,71197.00,44643.00
Iwate-ken,524371.00,69111.00,37579.00
Miyagi-ken,939638.00,89061.00,36106.00
Akita-ken,394443.00,57344.00,26216.00
Yamagata-ken,455055.00,65445.00,34620.00
Fukushima-ken,764458.00,89107.00,43398.00
Ibaraki-ken,1170251.00,127863.00,62949.00
Tochigi-ken,808668.00,88158.00,42043.00
Gumma-ken,815930.00,92245.00,40506.00
Saitama-ken,2964132.00,251091.00,74907.00
Chiba-ken,2488817.00,208347.00,75079.00
Tokyo-to,4727735.00,468160.00,101336.00
Kanagawa-ken,3631145.00,268223.00,63917.00
Niigata-ken,969540.00,110489.00,47714.00
Toyama-ken,470508.00,45540.00,17981.00
Ishikawa-ken,481854.00,52411.00,19979.00
Fukui-ken,339495.00,39654.00,15571.00
Yamanashi-ken,329157.00,50122.00,23125.00
Nagano-ken,869619.00,126859.00,58204.00
Gifu-ken,861026.00,94170.00,38570.00
Shizuoka-ken,1581107.00,168840.00,70141.00
Aichi-ken,3177170.00,270137.00,102809.00
Mie-ken,749897.00,77573.00,29426.00
Shiga-ken,590114.00,54425.00,18592.00
Kyoto-fu,952832.00,118670.00,38798.00
Osaka-fu,3141889.00,312045.00,81217.00
Hyogo-ken,2115050.00,205981.00,63556.00
Nara-ken,504328.00,56223.00,19931.00
Wakayama-ken,348139.00,59501.00,29965.00
Tottori-ken,230713.00,31472.00,13505.00
Shimane-ken,284703.00,37732.00,15077.00
Okayama-ken,755399.00,83091.00,29087.00
Hiroshima-ken,1159783.00,113810.00,36134.00
Yamaguchi-ken,551761.00,62769.00,21465.00
Tokushima-ken,275686.00,40859.00,19402.00
Kagawa-ken,382683.00,44104.00,17027.00
Ehime-ken,517279.00,70622.00,30713.00
Kochi-ken,249511.00,45024.00,20804.00
Fukuoka-ken,1903648.00,199358.00,70873.00
Saga-ken,330745.00,45258.00,24560.00
Nagasaki-ken,525273.00,70936.00,33310.00
Kumamoto-ken,675982.00,95271.00,50653.00
Oita-ken,447121.00,55807.00,22664.00
Miyazaki-ken,417020.00,62666.00,31548.00
Kagoshima-ken,618046.00,89892.00,36824.00
Okinawa-ken,469794.00,63638.00,16774.00
